categoria,centroide_lat,centroide_lon,fuente,id,nombre,nombre_completo,provincia_id,provincia_interseccion,provincia_nombre,,,
Municipio,-224.176.111.811.168,-628.122.067.292.647,Direc. Grl. de Inmuebles,660343,Santa Victoria Este,Municipio Santa Victoria Este,66,0.031010959,Salta,,,
Municipio,-24.503.469.017.085,-658.693.993.163.521,Direc. Grl. de Inmuebles,660364,Campo Quijano,Municipio Campo Quijano,66,0.030162431,Salta,,,
Municipio,-259.298.333.255.864,-663.372.867.377.435,Direc. Grl. de Inmuebles,660378,Angastaco,Municipio Angastaco,66,0.021234633,Salta,,,
Municipio,-221.863.764.264.674,-635.496.991.956.857,Direc. Grl. de Inmuebles,660126,Aguaray,Municipio Aguaray,66,0.016935965,Salta,,,
Municipio,-222.585.509.228.289,-650.145.224.579.477,Direc. Grl. de Inmuebles,660413,Santa Victoria Oeste,Municipio Santa Victoria Oeste,66,0.009631936,Salta,,,
Municipio,-224.901.350.156.833,-650.457.893.547.068,Direc. Grl. de Inmuebles,660406,Nazareno,Municipio Nazareno,66,0.006909191,Salta,,,
Municipio,-257.029.452.739.388,-654.445.328.508.854,Direc. Grl. de Inmuebles,660168,Guachipas,Municipio Guachipas,66,0.018158254,Salta,,,
Municipio,-255.135.434.924.208,-64.976.719.143.493,Direc. Grl. de Inmuebles,660266,Metán,Municipio Metán,66,0.007296796,Salta,,,
Municipio,-230.849.220.134.688,-646.094.728.862.924,Direc. Grl. de Inmuebles,660315,San Ramon de la Nueva Orán,Municipio San Ramon de la Nueva Orán,66,0.022236476,Salta,,,
Municipio,-245.066.508.305.036,-64.146.506.788.237,Direc. Grl. de Inmuebles,660007,Apolinario Saravia,Municipio Apolinario Saravia,66,0.007033941,Salta,,,
Municipio,-226.055.769.659.415,-639.782.396.370.587,Direc. Grl. de Inmuebles,660147,General Mosconi,Municipio General Mosconi,66,0.018145809,Salta,,,
Municipio,-224.689.957.526.384,-646.575.099.735.318,Direc. Grl. de Inmuebles,660399,Los Toldos,Municipio Los Toldos,66,0.009165587,Salta,,,
Municipio,-252.941.908.506.985,-654.144.258.201.107,Direc. Grl. de Inmuebles,660231,Coronel Moldes,Municipio Coronel Moldes,66,0.004759226,Salta,,,
Municipio,-23.728.543.811.028,-638.504.366.193.731,Direc. Grl. de Inmuebles,660308,Pichanal,Municipio Pichanal,66,0.043575862,Salta,,,
Municipio,-24.792.347.642.004,-636.538.145.950.214,Direc. Grl. de Inmuebles,660028,Joaquín V. González,Municipio Joaquín V. González,66,0.07198467,Salta,,,
Municipio,-385.808.546.732.895,-621.656.895.327.094,ARBA - Gerencia de Servicios Catastrales,60056,Bahía Blanca,Municipio Bahía Blanca,6,0.007541213,Buenos Aires,,,
Municipio,-277.111.201.189.354,-66.847.492.244.729,Adm. Grl. de Catastro,100063,Belén,Municipio Belén,10,0.015160567,Catamarca,,,
Municipio,-272.327.739.205.627,-666.867.349.793.277,Adm. Grl. de Catastro,100077,Hualfín,Municipio Hualfín,10,0.006973759,Catamarca,,,
Municipio,-250.590.252.489.353,-662.878.110.751.075,Direc. Grl. de Inmuebles,660042,Cachi,Municipio Cachi,66,0.012889503,Salta,,,
Municipio,-260.357.145.843.493,-654.415.593.896.556,Direc. Grl. de Inmuebles,660203,El Jardín,Municipio El Jardín,66,0.001476894,Salta,,,
Municipio,-245.731.647.705.322,-668.172.575.823.382,Direc. Grl. de Inmuebles,660245,San Antonio de los Cobres,Municipio San Antonio de los Cobres,66,0.070132862,Salta,,,
Municipio,-256.051.411.736.222,-664.900.375.368.787,Direc. Grl. de Inmuebles,660273,Molinos,Municipio Molinos,66,0.021030558,Salta,,,
Municipio,-275.461.401.411.272,-671.694.075.115.445,Adm. Grl. de Catastro,100091,Pozo de Piedra,Municipio Pozo de Piedra,10,0.004780063,Catamarca,,,
Municipio,-273.077.227.595.379,-668.569.085.255.966,Adm. Grl. de Catastro,100112,San Fernando,Municipio San Fernando,10,0.002072523,Catamarca,,,
Municipio,-268.778.834.110.203,-662.971.211.607.982,Adm. Grl. de Catastro,100203,San José,Municipio San José,10,0.04235472,Catamarca,,,
Municipio,-264.929.339.197.446,-661.496.524.320.488,Adm. Grl. de Catastro,100210,Santa María,Municipio Santa María,10,0.013297611,Catamarca,,,
Municipio,-275.035.405.012.381,-660.582.983.765.108,Adm. Grl. de Catastro,100042,Aconquija,Municipio Aconquija,10,0.008531945,Catamarca,,,
Municipio,-275.535.805.469.095,-664.219.289.567.448,Adm. Grl. de Catastro,100049,Andalgalá,Municipio Andalgalá,10,0.038530353,Catamarca,,,
Municipio,-280.574.573.700.851,-6.640.241.020.613,Adm. Grl. de Catastro,100196,Saujil,Municipio Saujil,10,0.031440456,Catamarca,,,
Municipio,-28.411.675.471.996,-664.313.284.959.768,Adm. Grl. de Catastro,100189,Pomán,Municipio Pomán,10,0.021870483,Catamarca,,,
Municipio,-283.106.975.214.611,-661.479.259.632.378,Adm. Grl. de Catastro,100185,Mutquín,Municipio Mutquín,10,0.001433751,Catamarca,,,
Municipio,-284.104.559.393.525,-658.362.002.957.157,Adm. Grl. de Catastro,100140,San Fernando del Valle de Catamarca,Municipio San Fernando del Valle de Catamarca,10,0.003965306,Catamarca,,,
Municipio,-281.100.495.534.152,-656.738.760.474.972,Adm. Grl. de Catastro,100182,Paclín,Municipio Paclín,10,0.009771968,Catamarca,,,
Municipio,-382.027.130.466.249,-580.722.485.722.111,ARBA - Gerencia de Servicios Catastrales,60280,General Alvarado,Municipio General Alvarado,6,0.005432767,Buenos Aires,,,
Municipio,-287.904.353.562.757,-686.977.547.342.455,IGN,460077,General Lamadrid,Municipio General Lamadrid,46,0.066450358,La Rioja,,,
Municipio,-283.164.203.776.533,-685.253.984.631.142,IGN,460098,Vinchina,Municipio Vinchina,46,0.123072933,La Rioja,,,
Municipio,-29.449.795.605.204,-683.284.822.964.494,IGN,460028,Coronel Felipe Varela,Municipio Coronel Felipe Varela,46,0.090219725,La Rioja,,,
Municipio,-288.599.829.479.001,-669.185.847.556.269,IGN,460021,Castro Barros,Municipio Castro Barros,46,0.016563825,La Rioja,,,
Municipio,-296.066.873.518.889,-694.379.498.926.956,Direc. de Geodesia y Catastro,700049,Iglesia,Municipio Iglesia,70,0.215162442,San Juan,,,
Municipio,-307.122.962.694.162,-67.532.303.564.839,Direc. de Geodesia y Catastro,700119,Valle Fértil,Municipio Valle Fértil,70,0.058994631,San Juan,,,
Municipio,-310.904.647.062.097,-688.815.821.606.005,Direc. de Geodesia y Catastro,700112,Ullum,Municipio Ullum,70,0.050345981,San Juan,,,
Municipio,-312.096.344.810.555,-684.519.807.662.306,Direc. de Geodesia y Catastro,700007,Albardon,Municipio Albardon,70,0.011523198,San Juan,,,
Municipio,-316.381.980.593.895,-689.555.709.233.009,Direc. de Geodesia y Catastro,700133,Zonda,Municipio Zonda,70,0.027242831,San Juan,,,
Municipio,-352.178.364.156.832,-670.804.473.289.427,IGN,500014,General Alvear,Municipio General Alvear,50,0.099366375,Mendoza,,,
Municipio,-34.944.544.968.313,-683.826.783.124.895,IGN,500105,San Rafael,Municipio San Rafael,50,0.211310472,Mendoza,,,
Municipio,-315.327.173.670.967,-684.634.116.809.574,Direc. de Geodesia y Catastro,700098,Santa Lucía,Municipio Santa Lucía,70,0.000617293,San Juan,,,
Municipio,-316.865.858.135.558,-684.675.631.318.926,Direc. de Geodesia y Catastro,700077,Rawson,Municipio Rawson,70,0.003265115,San Juan,,,
Municipio,-303.550.759.493.247,-684.412.683.481.452,Direc. de Geodesia y Catastro,700056,Jáchal,Municipio Jáchal,70,0.161947599,San Juan,,,
Municipio,-314.533.652.386.093,-698.338.001.250.746,Direc. de Geodesia y Catastro,700021,Calingasta,Municipio Calingasta,70,0.257688513,San Juan,,,
Municipio,-319.896.198.488.069,-678.274.038.980.406,Direc. de Geodesia y Catastro,700126,25 de Mayo,Municipio 25 de Mayo,70,0.04844756,San Juan,,,
Municipio,-379.656.760.017.008,-57.743.144.039.076,ARBA - Gerencia de Servicios Catastrales,60357,General Pueyrredon,Municipio General Pueyrredon,6,0.00486484,Buenos Aires,,,
Municipio,-374.984.341.236.931,-576.436.183.313.312,ARBA - Gerencia de Servicios Catastrales,60518,Mar Chiquita,Municipio Mar Chiquita,6,0.010213302,Buenos Aires,,,
Municipio,-315.330.748.483.572,-685.342.856.277.406,Direc. de Geodesia y Catastro,700028,San Juan,Municipio San Juan,70,0.000304405,San Juan,,,
Comision de Fomento,-372.860.435.824.025,-709.333.362.922.709,Direc. Pcial. de Catastro e Inf. Territorial,585077,Guañacos,Comision de Fomento Guañacos,58,0.00620719,Neuquén,,,
Municipio,-33.419.707.109.754,-686.121.759.957.283,IGN,500084,Rivadavia,Municipio Rivadavia,50,0.014230302,Mendoza,,,
Municipio,-340.753.663.961.096,-690.977.010.128.896,IGN,500091,San Carlos,Municipio San Carlos,50,0.076811808,Mendoza,,,
Municipio,-336.223.342.938.162,-69.507.805.463.383,IGN,500119,Tunuyán,Municipio Tunuyán,50,0.022182149,Mendoza,,,
Municipio,-330.382.520.812.749,-694.437.142.136.648,IGN,500063,Luján de Cuyo,Municipio Luján de Cuyo,50,0.032052502,Mendoza,,,
Municipio,-325.247.668.775.426,-692.671.757.239.401,IGN,500049,Las Heras,Municipio Las Heras,50,0.058115324,Mendoza,,,
Municipio,-32.582.585.367.751,-678.890.727.049.671,IGN,500056,Lavalle,Municipio Lavalle,50,0.067147166,Mendoza,,,
Municipio,-361.572.730.441.954,-693.135.099.463.235,IGN,500077,Malargüe,Municipio Malargüe,50,0.277429788,Mendoza,,,
Municipio,-328.806.541.047.985,-688.921.657.602.392,IGN,500007,Capital,Municipio Capital,50,0.000346398,Mendoza,,,
Comuna,-269.597.071.072.569,-652.814.079.053.137,Direccion de Estadística de la Prov. Tucumán,908322,Manuel Garcia Fernandez,Comuna Manuel Garcia Fernandez,90,0.000869815,Tucumán,,,
Municipio,-374.279.286.578.832,-68.904.881.950.857,Direc. Pcial. de Catastro e Inf. Territorial,580210,Rincon de los Sauces,Municipio Rincon de los Sauces,58,0.010241035,Neuquén,,,
Comision de Fomento,-376.310.256.208.455,-683.594.661.614.186,Direc. Pcial. de Catastro e Inf. Territorial,585105,Octavio Pico,Comision de Fomento Octavio Pico,58,0.003206374,Neuquén,,,
Municipio,-372.421.306.229.288,-698.210.409.111.221,Direc. Pcial. de Catastro e Inf. Territorial,580203,Buta Ranquil,Municipio Buta Ranquil,58,0.02278341,Neuquén,,,
Comision de Fomento,-384.119.191.438.239,-697.502.827.574.929,Direc. Pcial. de Catastro e Inf. Territorial,585126,Quili Malal,Comision de Fomento Quili Malal,58,0.003893267,Neuquén,,,
Municipio,-387.687.927.342.046,-700.160.273.047.475,Direc. Pcial. de Catastro e Inf. Territorial,580238,Mariano Moreno,Municipio Mariano Moreno,58,0.000967857,Neuquén,,,
Municipio,-399.210.969.926.669,-710.997.656.206.867,Direc. Pcial. de Catastro e Inf. Territorial,580112,Junín de los Andes,Municipio Junín de los Andes,58,0.015267933,Neuquén,,,
Municipio,-392.342.734.029.443,-709.120.954.468.479,Direc. Pcial. de Catastro e Inf. Territorial,580007,Aluminé,Municipio Aluminé,58,0.000853396,Neuquén,,,
Municipio,-389.446.959.754.993,-681.001.766.838.423,Direc. Pcial. de Catastro e Inf. Territorial,580056,Neuquén,Municipio Neuquén,58,0.001361593,Neuquén,,,
Municipio,-387.973.834.665.027,-681.756.656.510.973,Direc. Pcial. de Catastro e Inf. Territorial,580042,Centenario,Municipio Centenario,58,0.001389705,Neuquén,,,
Municipio,-37.109.945.873.389,-568.696.753.983.418,ARBA - Gerencia de Servicios Catastrales,60644,Pinamar,Municipio Pinamar,6,0.00021891,Buenos Aires,,,
Municipio,-389.398.936.598.766,-692.541.458.274.133,Direc. Pcial. de Catastro e Inf. Territorial,580049,Cutral Co,Municipio Cutral Co,58,0.000856855,Neuquén,,,
Municipio,-389.406.582.608.027,-691.598.555.722.786,Direc. Pcial. de Catastro e Inf. Territorial,580063,Plaza Huincul,Municipio Plaza Huincul,58,0.000837073,Neuquén,,,
Comision de Fomento,-394.816.153.694.996,-695.258.646.816.178,Direc. Pcial. de Catastro e Inf. Territorial,585112,El Sauce,Comision de Fomento El Sauce,58,0.003697887,Neuquén,,,
Municipio,-395.272.959.346.432,-693.041.340.199.497,Direc. Pcial. de Catastro e Inf. Territorial,580217,Picún Leufú,Municipio Picún Leufú,58,0.001486436,Neuquén,,,
Municipio,-396.076.912.118.787,-705.825.186.548.069,Direc. Pcial. de Catastro e Inf. Territorial,580028,Las Coloradas,Municipio Las Coloradas,58,0.000858165,Neuquén,,,
Comision de Fomento,-398.409.265.275.249,-700.938.182.756.884,Direc. Pcial. de Catastro e Inf. Territorial,585035,Santo Tomás,Comision de Fomento Santo Tomás,58,0.000942111,Neuquén,,,
Municipio,-371.472.111.349.999,-709.641.103.407.799,Direc. Pcial. de Catastro e Inf. Territorial,580161,Los Miches,Municipio Los Miches,58,0.005112457,Neuquén,,,
Municipio,-376.497.782.492.439,-705.833.484.817.915,Direc. Pcial. de Catastro e Inf. Territorial,580182,El Huecú,Municipio El Huecú,58,0.000691461,Neuquén,,,
Municipio,-38.130.763.669.743,-706.070.114.096.582,Direc. Pcial. de Catastro e Inf. Territorial,580126,Loncopué,Municipio Loncopué,58,0.000840703,Neuquén,,,
Municipio,-370.444.304.664.013,-703.654.033.463.117,Direc. Pcial. de Catastro e Inf. Territorial,580105,Tricao Malal,Municipio Tricao Malal,58,0.000828687,Neuquén,,,
Municipio,-27.304.202.864.253,-586.805.128.113.911,Direc. Pcial. de Catastro y Cartografía,220042,Isla del Cerrito,Municipio Isla del Cerrito,22,0.001631211,Chaco,,,
Municipio,-370.638.452.103.236,-705.999.829.263.709,Direc. Pcial. de Catastro e Inf. Territorial,580147,Huinganco,Municipio Huinganco,58,0.003116067,Neuquén,,,
